glat,glon,risk,count,fatals,fatal_ratio,route_risk
43.59,-79.545,0.38614533838487497,2,2,1.0,0.8678203053794064
43.59,-79.535,0.12081264884926149,4,0,0.0,0.11753605486110745
43.59,-79.525,0.17320491599644594,2,0,0.0,0.1573486814641305
43.595,-79.545,0.3521738564012251,2,2,1.0,0.8381308308410127
43.595,-79.54,0.13878033944805723,19,2,0.10526315789473684,0.23325409029864788
43.595,-79.535,0.23924891918688904,14,3,0.21428571428571427,0.36328787581814076
43.595,-79.53,0.133030434692715,4,0,0.0,0.12821382399373882
43.595,-79.525,0.24186051424979238,2,0,0.0,0.21735043932803386
43.595,-79.52,0.31028561294039886,2,2,1.0,0.8015224798044938
43.6,-79.545,0.14267872004347093,17,0,0.0,0.17548832101861855
43.6,-79.525,0.41137577937564096,2,2,1.0,0.8898705219624897
43.6,-79.52,0.16885259128914534,10,2,0.2,0.28232228519166436
43.6,-79.515,0.16828697865770242,16,3,0.1875,0.2932005583752163
43.6,-79.51,0.129459235768342,13,1,0.07692307692307693,0.19231990906927432
43.6,-79.505,0.22370877738211156,16,8,0.5,0.5055027641347503
43.6,-79.5,0.17317039302624232,16,5,0.3125,0.36301489847601587
43.605000000000004,-79.555,0.24981171349749398,5,0,0.0,0.2332630321032774
43.605000000000004,-79.545,0.19603863786323042,15,2,0.13333333333333333,0.2860628591636207
43.605000000000004,-79.54,0.1625194717073273,7,0,0.0,0.16294947212760666
43.605000000000004,-79.535,0.1917426978158697,9,2,0.2222222222222222,0.31099199170704794
43.605000000000004,-79.53,0.4377526019661226,3,3,1.0,0.915910495143051
43.605000000000004,-79.52,0.11168402472051708,10,2,0.2,0.23235965175834383
43.605000000000004,-79.505,0.22200183840150414,9,0,0.0,0.22091000403806307
43.605000000000004,-79.495,0.1419241835761801,7,0,0.0,0.14495016073828113
43.605000000000004,-79.49,0.13622768266892898,8,0,0.0,0.14295956045708122
43.61,-79.565,0.17528817383102863,2,0,0.0,0.15916935064972917
43.61,-79.56,0.1694531919296768,4,0,0.0,0.16004559760094633
43.61,-79.555,0.18987299310727077,2,0,0.0,0.17191579546945973
43.61,-79.545,0.08976553531443533,2,0,0.0,0.08442659436030099
43.61,-79.54,0.1343551331330519,6,0,0.0,0.13534729420386213
43.61,-79.515,0.1256450296240793,2,0,0.0,0.11578358176724739
43.61,-79.495,0.1635897178543149,8,0,0.0,0.1668726899268562
43.61,-79.49,0.17871898195117747,14,0,0.0,0.19802219244263566
43.615,-79.56,0.16227805970211512,4,0,0.0,0.15377487012187058
43.615,-79.555,0.12042497033813196,20,3,0.15,0.24365897090291253
43.615,-79.55,0.12484433911590771,11,0,0.0,0.14197467385624635
43.615,-79.545,0.13371284720189122,9,0,0.0,0.14374958585251105
43.615,-79.54,0.10972165368779815,10,0,0.0,0.1257702862675837
43.615,-79.535,0.15052936323257457,31,0,0.0,0.22417963659412796
43.615,-79.53,0.16814007071954837,7,0,0.0,0.16786161082512277
43.615,-79.525,0.16611129029761984,6,0,0.0,0.1631006792351198
43.615,-79.52,0.13056867083490722,2,0,0.0,0.12008661218656841
43.615,-79.515,0.05780508247097401,3,0,0.0,0.05948253762809902
43.615,-79.51,0.020503435801714966,2,0,0.0,0.023894782973670776
43.615,-79.5,0.21415072325562226,17,4,0.23529411764705882,0.36133306725498937
43.615,-79.495,0.22720456420867957,2,2,1.0,0.7289135579408379
43.615,-79.49,0.22122716277599927,20,7,0.35,0.4366296830302391
43.62,-79.565,0.09700623967744415,3,3,1.0,0.6181142302615545
43.62,-79.56,0.2634956291153802,3,3,1.0,0.7636181117527805
43.62,-79.555,0.23324500524252045,4,0,0.0,0.21579663660540221
43.62,-79.545,0.3473774662869297,7,4,0.5714285714285714,0.6241476366349371
43.62,-79.54,0.2504784389320043,3,0,0.0,0.2278699725251036
43.62,-79.53,0.30873334362519794,5,0,0.0,0.2847577604839545
43.62,-79.525,0.15422562700318676,36,2,0.05555555555555555,0.2714811251317678
43.62,-79.52,0.24818199210972944,18,5,0.2777777777777778,0.41633989608736705
43.62,-79.515,0.1779464916759488,11,0,0.0,0.1883834530529863
